speaker,bigbird_polarity
Monica Geller,0.5501427068391607
Rachel Green,0.5500304266218212
Chandler Bing,0.5500245797187601
Joey Tribbiani,0.5499606734682785
Phoebe Buffay,0.5499597688674926
Ross Geller,0.5499510307640146
