speaker,polarity,subjectivity
Phoebe Buffay,0.09326622448551271,0.29282807170371133
Rachel Green,0.08278002406143897,0.28834786711823
Ross Geller,0.08061316393120029,0.27926075266817063
Chandler Bing,0.07870176685626613,0.2862189226773829
Joey Tribbiani,0.07679544733769679,0.2768367487715155
Monica Geller,0.07200245957508636,0.2836080282323386
